"link","isDetected","text","rating","remarks"
"https://www.deezer.com/","yes","A note about our cookies
With your consent, Deezer and its 797 partners may use cookies and personal data (such as identifiers and device characteristics) stored on your device for the following purposes: storing and/or accessing information on a device, personalised advertising and content, advertising and content measurement, audience research and services development.
Some partners do not ask for consent and rely on their legitimate business interest. You can withdraw your consent or object to data processing based on legitimate interest by clicking on “Refuse” below. In this case, only basic ads will be displayed on Deezer. Your choices only apply to Deezer and will be signaled to our partners. You can change them at any time in your settings.","GOOD",
"https://projectaccess.org/","yes","About cookies on this site"" ""We use cookies to collect and analyse information on site performance and usage, to provide social media features and to enhance and customise content and advertisements. Learn more.","GOOD",
"https://edu.gcfglobal.org/","yes","About cookies on this site
Sharing your cookies helps us improve the site, optimize your experience, and understand the extent of our impact. By closing this banner, you agree to the use of cookies on this website (This option applies to users outside the United States and Europe). Learn more about how we use cookies by clicking on Cookie Settings.
Learn more","BAD",
"https://sciencecouncil.org/","yes","About cookies on this site
We use cookies to collect and analyse information on site performance and usage, to provide social media features and to enhance and customise content and advertisements. Cookies are used for Personalized advertising. Learn more","GOOD",
"https://www.sutherlandglobal.com/","no","About Cookies on This Site
Cookies are important to the proper functioning of a site. To improve your experience, we use cookies to remember log-in details and provide secure log-in, collect statistics to optimize site functionality, and deliver content tailored to your interests. Click Agree and Proceed to accept cookies and go directly to the site or click on View Cookie Settings to see detailed descriptions of the types of cookies and choose whether to accept certain cookies while on the site.","GOOD",
"https://www.shellecomarathon.com/","no","About Cookies On This Site
We use cookies to personalise and enhance your experience on our site and improve the delivery of ads to you. Visit our Cookie Policy
to learn more. By clicking ""accept"", you agree to our use of cookies.","GOOD",
"https://www.shellenergy.co.uk/","yes","About Cookies On This Site
We use cookies to personalise and enhance your experience on our site and improve the delivery of ads to you. Visit our Cookie Policy to learn more. By clicking ""accept"", you agree to our use of cookies.","GOOD",
"https://www.shell.com/","no","About Cookies On This Site
We use cookies to personalize and enhance your experience on our site and improve the delivery of ads to you. Visit our Cookie Policy
to learn more.","GOOD",
"https://www.shell.com.ph/","yes","About Cookies On This Site
We use cookies to personalize and enhance your experience on our site and improve the delivery of ads to you. Visit our Cookie Policy to learn more.","GOOD",
"https://www.shellgoplus.com/","yes","About Cookies On This Site
We use cookies to personalize and enhance your experience on our site and improve the delivery of ads to you. Visit our Cookie Policy to learn more.","GOOD",
